collection_date,primer_set,rel,day30_avg,misclass,ts,ts1
2021-08-17,Chan-set,1.28654970760234,2.26957779243468,slight,1629158400,1629158400
2021-08-18,Chan-set,1.90181335692172,2.26785529192897,slight,1629244800,1629244800
2021-08-19,Chan-set,2.02020202020202,2.27051695466969,slight,1629331200,1629331200
2021-08-20,Chan-set,2.00956937799043,2.28017254327265,slight,1629417600,1629417600
2021-08-21,Chan-set,1.16810563737938,2.24481017461656,slight,1629504000,1629504000
2021-08-22,Chan-set,1.13882863340564,2.20802029849864,slight,1629590400,1629590400
2021-08-23,Chan-set,1.93494111048794,2.20087735146516,slight,1629676800,1629676800
2021-08-24,Chan-set,1.62754303599374,2.18991684719718,slight,1629763200,1629763200
2021-08-25,Chan-set,2.95812524010757,2.18801330246011,slight,1629849600,1629849600
2021-08-26,Chan-set,4.40414507772021,2.25045220113129,slight,1629936000,1629936000
2021-08-27,Chan-set,2.73780273780274,2.24463372225892,slight,1630022400,1630022400
2021-08-28,Chan-set,2.5758205234732,2.25814074166157,slight,1630108800,1630108800
2021-08-29,Chan-set,2.58323765786452,2.27238084111132,slight,1630195200,1630195200
2021-08-30,Chan-set,2.5331164303974,2.27091608476563,slight,1630281600,1630281600
2021-08-31,Chan-set,2.63157894736842,2.24641316078902,slight,1630368000,1630368000
2021-09-01,Chan-set,3.25732899022801,2.26675162614221,slight,1630454400,1630454400
2021-09-02,Chan-set,3.42059336823735,2.28824347212256,slight,1630540800,1630540800
2021-09-03,Chan-set,3.06776556776557,2.30215785519061,slight,1630627200,1630627200
2021-09-04,Chan-set,2.33947237431558,2.27458345548353,slight,1630713600,1630713600
2021-09-05,Chan-set,2.31419670672007,2.24358085206885,slight,1630800000,1630800000
2021-09-06,Chan-set,2.60093167701863,2.2472048467026,slight,1630886400,1630886400
2021-09-07,Chan-set,2.47933884297521,2.24844229352543,slight,1630972800,1630972800
2021-09-08,Chan-set,2.97570297570298,2.28071006772868,slight,1631059200,1631059200
2021-09-09,Chan-set,2.76172125883109,2.29181993109395,slight,1631145600,1631145600
2021-09-10,Chan-set,2.85608308605341,2.32443577434255,slight,1631232000,1631232000
2021-09-11,Chan-set,2.66457680250784,2.3564137505853,slight,1631318400,1631318400
2021-09-12,Chan-set,2.65486725663717,2.39992940612783,slight,1631404800,1631404800
2021-09-13,Chan-set,3.00043802014893,2.45244195929741,slight,1631491200,1631491200
2021-09-14,Chan-set,2.46391239422598,2.46924847477905,slight,1631577600,1631577600
2021-09-15,Chan-set,2.06362854686156,2.48106457876489,slight,1631664000,1631664000
2021-09-16,Chan-set,2.1948608137045,2.51134161563496,slight,1631750400,1631750400
2021-09-17,Chan-set,2.05867215645908,2.51657024228621,slight,1631836800,1631836800
2021-09-18,Chan-set,1.78271106626303,2.50865387715491,slight,1631923200,1631923200
2021-09-19,Chan-set,3.25788751714678,2.55026448179345,slight,1632009600,1632009600
2021-09-20,Chan-set,2.76376398332968,2.60345309332513,slight,1632096000,1632096000
2021-09-21,Chan-set,2.35767682576193,2.64408136640367,slight,1632182400,1632182400
2021-09-22,Chan-set,2.60688216892596,2.66647940168494,slight,1632268800,1632268800
2021-09-23,Chan-set,2.00885257065032,2.67918971950682,slight,1632355200,1632355200
2021-09-24,Chan-set,2.55754475703325,2.66583703673768,slight,1632441600,1632441600
2021-09-25,Chan-set,2.83613445378151,2.61357001593972,slight,1632528000,1632528000
2021-09-26,Chan-set,2.3921568627451,2.60204848677113,slight,1632614400,1632614400
2021-09-27,Chan-set,2.97284644194757,2.61528268405361,slight,1632700800,1632700800
2021-09-28,Chan-set,2.09119953528899,2.5988814133011,slight,1632787200,1632787200
2021-09-29,Chan-set,2.3370233702337,2.59234497796231,slight,1632873600,1632873600
2021-09-30,Chan-set,2.01062215477997,2.57164641820936,slight,1632960000,1632960000
2021-10-01,Chan-set,2.53534861043393,2.54758040554956,slight,1633046400,1633046400
2021-10-02,Chan-set,3.12185297079557,2.5376223923015,slight,1633132800,1633132800
2021-10-03,Chan-set,2.48796147672552,2.51829558926683,slight,1633219200,1633219200
2021-10-04,Chan-set,2.92259083728278,2.53773287136573,slight,1633305600,1633305600
2021-10-05,Chan-set,2.68432355046528,2.55007043282391,slight,1633392000,1633392000
2021-10-06,Chan-set,1.62189559047136,2.51743589660567,slight,1633478400,1633478400
2021-10-07,Chan-set,2.07162921348315,2.5038455756226,slight,1633564800,1633564800
2021-10-08,Chan-set,2.45499181669394,2.48648853698896,slight,1633651200,1633651200
2021-10-09,Chan-set,2.11019929660023,2.46477113824794,slight,1633737600,1633737600
2021-10-10,Chan-set,2.71739130434783,2.46014807885775,slight,1633824000,1633824000
2021-10-11,Chan-set,2.83596519497261,2.46586102527324,slight,1633910400,1633910400
2021-10-12,Chan-set,1.65619645916619,2.43257199869088,slight,1633996800,1633996800
2021-10-13,Chan-set,2.1978021978022,2.40581747127932,slight,1634083200,1634083200
2021-10-14,Chan-set,1.9216277317257,2.38774131586264,slight,1634169600,1634169600
2021-10-15,Chan-set,2.67011197243755,2.40795743004851,slight,1634256000,1634256000
2021-10-16,Chan-set,2.36653824986241,2.41368001125377,slight,1634342400,1634342400
2021-10-17,Chan-set,2.06552706552707,2.4139085082227,slight,1634428800,1634428800
2021-10-18,Chan-set,1.92393736017897,2.41861605135324,slight,1634515200,1634515200
2021-10-19,Chan-set,2.04188481675393,2.37808262800681,slight,1634601600,1634601600
2021-10-20,Chan-set,2.66244057052298,2.37470518091325,slight,1634688000,1634688000
2021-10-21,Chan-set,2.84198560060629,2.3908488067414,slight,1634774400,1634774400
2021-10-22,Chan-set,2.74969672462596,2.3956092919314,slight,1634860800,1634860800
2021-10-23,Chan-set,2.09597352454495,2.39851332372788,slight,1634947200,1634947200
