collection_date,allpos_count
2021-10-08,1833
2021-10-09,1706
2021-10-10,1840
2021-10-11,3103
2021-10-12,3502
2021-10-13,2457
2021-10-14,2654
2021-10-15,2322
2021-10-16,1817
2021-10-17,1404
2021-10-18,4470
2021-10-19,3820
2021-10-20,3155
2021-10-21,2639
2021-10-22,2473
2021-10-23,1813
2021-10-24,1815
2021-10-25,2625
2021-10-26,1861
2021-10-27,1246
2021-10-28,1873
2021-10-29,1218
2021-10-30,1648
2021-10-31,2463
2021-11-01,3278
2021-11-02,2675
2021-11-03,1754
2021-11-04,1506
2021-11-05,1160
2021-11-06,729
2021-11-07,699
2021-11-08,1391
2021-11-09,1318
2021-11-10,1248
2021-11-11,1124
2021-11-12,1232
2021-11-13,961
2021-11-14,686
2021-11-15,1426
2021-11-16,832
2021-11-17,675
2021-11-18,631
2021-11-19,501
2021-11-20,341
2021-11-21,672
2021-11-22,515
2021-11-23,500
2021-11-24,553
2021-11-25,398
2021-11-26,477
2021-11-27,346
2021-11-28,317
2021-11-29,721
2021-11-30,1469
2021-12-01,504
2021-12-02,551
2021-12-03,701
2021-12-04,396
2021-12-05,403
2021-12-06,821
2021-12-07,1384
2021-12-08,672
2021-12-09,838
2021-12-10,725
2021-12-11,348
2021-12-12,452
2021-12-13,1076
2021-12-14,2281
2021-12-15,1161
2021-12-16,1034
2021-12-17,890
2021-12-18,645
2021-12-19,688
2021-12-20,654
2021-12-21,739
2021-12-22,502
2021-12-23,325
2021-12-24,267
2021-12-25,126
2021-12-26,214
2021-12-27,505
2021-12-28,1349
2021-12-29,681
2021-12-30,391
2021-12-31,204
2022-01-01,150
2022-01-02,140
2022-01-03,152
2022-01-04,1500
2022-01-05,62
2022-01-06,49
2022-01-07,32
2022-01-08,16
2022-01-09,14
2022-01-10,77
2022-01-11,416
2022-01-12,69
2022-01-13,26
2022-01-14,15
2022-01-15,13
2022-01-16,342
2022-01-17,632
2022-01-18,56
2022-01-19,25
2022-01-20,24
2022-01-21,11
2022-01-22,11
2022-01-23,35
2022-01-24,74
2022-01-25,17
2022-01-26,11
2022-01-27,5
2022-01-28,9
2022-01-29,4
2022-01-30,24
2022-01-31,63
2022-02-06,1
2022-02-08,1
2022-02-09,2
2022-02-11,1
2022-02-23,1
